,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 1 - Population and basic demographics by parish and comparison geographies, New Orleans metro 2000-2018",,,,,,,,,,,,,,,,,,,,,,,
"Released July 28, 2020",,,,,,,,,,,,,,,,,,,,,,,
****Scroll down for data dictionary****,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Orleans,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
African American population,,,,,,,,,,,,,,,,,,,,,,,
,Orleans,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,,,,,,,,,
2000,"323,392",,,,,,,,,,,,,,,,,,,,,,
2006,"133,015",,,,,,,,,,,,,,,,,,,,,,
2007,"159,887",,,,,,,,,,,,,,,,,,,,,,
2008,"181,882",,,,,,,,,,,,,,,,,,,,,,
2009,"197,337",,,,,,,,,,,,,,,,,,,,,,
2010,"205,747",,,,,,,,,,,,,,,,,,,,,,
2011,"216,518",,,,,,,,,,,,,,,,,,,,,,
2012,"221,587",,,,,,,,,,,,,,,,,,,,,,
2013,"226,496",,,,,,,,,,,,,,,,,,,,,,
2014,"228,964",,,,,,,,,,,,,,,,,,,,,,
2015,"231,490",,,,,,,,,,,,,,,,,,,,,,
2016,"231,936",,,,,,,,,,,,,,,,,,,,,,
2017,"231,943",,,,,,,,,,,,,,,,,,,,,,
2018,231360,,,,,,,,,,,,,,,,,,,,,,
2019,"230,418",,,,,,,,,,,,,,,,,,,,,,
"Source: The Data Center analysis of U.S. Census Bureau data from Census 2000, 2010, Intercensal Estimates 2006-2009, and Population Estimates 2019.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Hispanic population,,,,,,,,,,,,,,,,,,,,,,,
,Orleans,Jefferson,Plaquemines,St. Bernard,St. Charles,St. James,St. John the Baptist,St. Tammany,New Orleans Metro,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,,,,,,,,,
2000,"14,826","32,418",433,"3,425","1,346",130,"1,230","4,737","58,545",,,,,,,,,,,,,,
